Prerequisites,Course Name,Credits,Concurrent Enrollment
,CARD 0200,5,False
CORE 1500,CATH 2000,3,True
,CATH 2930,3,False
,CATH 2980,3,False
,CATH 3001,3,False
,CATH 3002,3,False
,CATH 3680,3,False
,CATH 3930,3,False
,CATH 4000,3,False
,CATH 4910,6,False
,CATH 4930,3,False
,CATH 4960,3,False
,CATH 4980,3,False
,CHEB 3970,15,False
,CHEM 0930,3,False
,CHEM 1000,3,False
MATH 1200,CHEM 1030,2,True
,CHEM 1050,3,False
,CHEM 1075,1,False
,CHEM 1080,3,False
CHEM 1080,CHEM 1085,1,True
CHEM 1050;CHEM 1030;MATH 1200;MATH 1320;MATH 1400;MATH 1510;MATH 1520,CHEM 1110,3,False
CHEM 1110;CHEM 1130,CHEM 1115,1,True
CHEM 1110;CHEM 1130,CHEM 1120,3,False
CHEM 1115;CHEM 1140;CHEM 1120,CHEM 1125,1,True
CHEM 1050;CHEM 1030;MATH 1400,CHEM 1130,3,False
CHEM 1110;CHEM 1130,CHEM 1140,3,False
CHEM 1080,CHEM 1480,3,False
CHEM 1080;CHEM 1085;CHEM 1480,CHEM 1485,1,True
,CHEM 1930,4,False
,CHEM 1980,3,False
CHEM 1120;CHEM 1140,CHEM 2200,2,False
CHEM 1120;CHEM 1140;CHEM 1125,CHEM 2205,2,False
CHEM 1120;CHEM 1140;CHEM 1125,CHEM 2410,3,False
CHEM 1120;CHEM 1140;CHEM 1125;CHEM 2410;CHEM 2430,CHEM 2415,1,True
CHEM 2410,CHEM 2420,3,False
CHEM 2415;CHEM 2435;CHEM 2420;CHEM 2440,CHEM 2425,1,True
CHEM 1120;CHEM 1140,CHEM 2430,3,False
CHEM 1120;CHEM 1140;CHEM 1125,CHEM 2435,1,False
CHEM 2430,CHEM 2440,3,False
CHEM 2435;CHEM 2440;CHEM 2430,CHEM 2445,1,True
,CHEM 2930,3,False
,CHEM 2980,3,False
CHEM 2440;CHEM 2420;CHEM 2200,CHEM 3100,1,False
